group2	family2	genus2	group	family	genus	subspecies	stage	taxa	ID	DIN	shortcode	levelAQEM	LINK	LINK_ID	levelLINK
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium conventus	8220	1229	caseconv	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium crassum	16958	90330	pisscras	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium globulare	16778	1545	pisiglob	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium henslowanum	6418	1073	casehens	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium hibernicum	7804	1983	casehibe	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium hinzi	15910	NA	pisihinz	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium lilljeborgii	7382	1981	caselill	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium milium	6419	1074	casemili	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium moitessierianum	8228	1933	casemoit	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium nitidum	6421	1056	caseniti	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium obtusale	6422	1980	caseobtu	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium personatum	6423	1979	casepers	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium pseudosphaerium	6424	1230	casepseu	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium pulchellum	14105	1231	pisipulc	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium sp.	6425	1037	casesp.	genus	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium subtilestriatum	15911	NA	pisisubt	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium subtruncatum	6426	1075	casesubt	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium supinum	6427	1076	casesupi	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium tenuilineatum	7803	1978	casetenu	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium waldeni	15913	NA	pisiwald	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Sphaeriidae Gen. sp.	Bivalvia	Sphaeriidae	Sphaeriidae	NA	NA	Sphaeriidae Gen. sp.	8429	1944	sphagen.	family	Sphaeriidae Gen. sp.	8429	family
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Sphaeriidae Gen 1 (new Gen. sp. P) sp.	Bivalvia	Sphaeriidae	Sphaeriidae Gen 1 (new Gen. sp. P)	NA	NA	Sphaeriidae Gen 1 (new Gen. sp. P) sp.	14748	NA	sphage1	genus	Sphaeriidae Gen. sp.	8429	family
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Sphaerium sp.	Bivalvia	Sphaeriidae	Sphaerium	NA	NA	Sphaerium corneum	6882	1012	sphacorn	species	Sphaerium sp.	6886	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Sphaerium sp.	Bivalvia	Sphaeriidae	Sphaerium	NA	NA	Sphaerium corneum/ovale	22098	1587	sphacoov	species	Sphaerium sp.	6886	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Sphaerium sp.	Bivalvia	Sphaeriidae	Sphaerium	NA	NA	Sphaerium nucleus	7802	1310	sphanucl	species	Sphaerium sp.	6886	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Sphaerium sp.	Bivalvia	Sphaeriidae	Sphaerium	NA	NA	Sphaerium ovale	16777	1414	sphaoval	species	Sphaerium sp.	6886	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Sphaerium sp.	Bivalvia	Sphaeriidae	Sphaerium	NA	NA	Sphaerium radiatum	16669	NA	spharadi	species	Sphaerium sp.	6886	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Sphaerium sp.	Bivalvia	Sphaeriidae	Sphaerium	NA	NA	Sphaerium rivicola	6884	1058	spharivi	species	Sphaerium sp.	6886	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Sphaerium sp.	Bivalvia	Sphaeriidae	Sphaerium	NA	NA	Sphaerium solidum	6885	1931	sphasoli	species	Sphaerium sp.	6886	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Sphaerium sp.	Bivalvia	Sphaeriidae	Sphaerium	NA	NA	Sphaerium sp.	6886	1115	sphiumsp	genus	Sphaerium sp.	6886	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Sphaerium sp.	Bivalvia	Sphaeriidae	Sphaerium	NA	NA	Sphaerium subsolidum	16106	NA	sphasubs	species	Sphaerium sp.	6886	genus
Bivalvia Gen. sp.	Tellinidae Gen. sp.	Macoma sp.	Bivalvia	Tellinidae	Macoma	NA	NA	Macoma balthica	20501	NA	macobalt	species	Macoma sp.	20500	genus
Bivalvia Gen. sp.	Tellinidae Gen. sp.	Macoma sp.	Bivalvia	Tellinidae	Macoma	NA	NA	Macoma sp.	20500	NA	macomasp	genus	Macoma sp.	20500	genus
Bivalvia Gen. sp.	Tellinidae Gen. sp.	Tellinidae Gen. sp.	Bivalvia	Tellinidae	Tellinidae	NA	NA	Tellinidae Gen. sp.	20502	NA	telligen	family	Tellinidae Gen. sp.	20502	family
Bivalvia Gen. sp.	Unionidae Gen. sp.	Anodonta sp.	Bivalvia	Unionidae	Anodonta	NA	NA	Anodonta anatina	7381	1993	anodanat	species	Anodonta sp.	4326	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Anodonta sp.	Bivalvia	Unionidae	Anodonta	Anodonta cygnea ssp.	NA	Anodonta cygnea cygnea	22101	1395	anodcycy	subspecies	Anodonta sp.	4326	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Anodonta sp.	Bivalvia	Unionidae	Anodonta	Anodonta cygnea ssp.	NA	Anodonta cygnea solearis	22100	1396	anodcyso	subspecies	Anodonta sp.	4326	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Anodonta sp.	Bivalvia	Unionidae	Anodonta	Anodonta cygnea ssp.	NA	Anodonta cygnea ssp.	4324	1096	anodcygn	subspecies	Anodonta sp.	4326	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Anodonta sp.	Bivalvia	Unionidae	Anodonta	NA	NA	Anodonta sp.	4326	1031	anodsp.	genus	Anodonta sp.	4326	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Anodonta/Pseudanodonta sp.	Bivalvia	Unionidae	Anodonta/Pseudanodonta	NA	NA	Anodonta/Pseudanodonta sp.	20077	NA	anopsesp	genus	Anodonta/Pseudanodonta sp.	20077	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Microcondylaea sp.	Bivalvia	Unionidae	Microcondylaea	NA	NA	Microcondylaea compressa	5991	NA	micrcomp	species	Microcondylaea sp.	21988	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Microcondylaea sp.	Bivalvia	Unionidae	Microcondylaea	NA	NA	Microcondylaea sp.	21988	NA	microcsp	genus	Microcondylaea sp.	21988	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Potomida sp.	Bivalvia	Unionidae	Potomida	NA	NA	Potomida littoralis	6536	NA	potolitt	species	Potomida sp.	16957	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Potomida sp.	Bivalvia	Unionidae	Potomida	NA	NA	Potomida sp.	16957	NA	potomisp	genus	Potomida sp.	16957	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Pseudanodonta sp.	Bivalvia	Unionidae	Pseudanodonta	Pseudanodonta complanata ssp.	NA	Pseudanodonta complanata complanata	14407	NA	pseucota	subspecies	Pseudanodonta sp.	9169	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Pseudanodonta sp.	Bivalvia	Unionidae	Pseudanodonta	Pseudanodonta complanata ssp.	NA	Pseudanodonta complanata elongata	15994	1405	pseuelon	subspecies	Pseudanodonta sp.	9169	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Pseudanodonta sp.	Bivalvia	Unionidae	Pseudanodonta	Pseudanodonta complanata ssp.	NA	Pseudanodonta complanata klettii	16779	1406	pseucokl	subspecies	Pseudanodonta sp.	9169	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Pseudanodonta sp.	Bivalvia	Unionidae	Pseudanodonta	Pseudanodonta complanata ssp.	NA	Pseudanodonta complanata kuesteri	16780	1407	pseucoku	subspecies	Pseudanodonta sp.	9169	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Pseudanodonta sp.	Bivalvia	Unionidae	Pseudanodonta	Pseudanodonta complanata ssp.	NA	Pseudanodonta complanata ssp.	19396	1940	psecossp	subspecies	Pseudanodonta sp.	9169	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Pseudanodonta sp.	Bivalvia	Unionidae	Pseudanodonta	NA	NA	Pseudanodonta sp.	9169	NA	pseudasp	genus	Pseudanodonta sp.	9169	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Sinanodonta sp.	Bivalvia	Unionidae	Sinanodonta	NA	NA	Sinanodonta sp.	9189	NA	sinasp.	genus	Sinanodonta sp.	9189	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Sinanodonta sp.	Bivalvia	Unionidae	Sinanodonta	NA	NA	Sinanodonta woodiana	6858	1413	sinawood	species	Sinanodonta sp.	9189	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unio sp.	Bivalvia	Unionidae	Unio	Unio crassus ssp.	NA	Unio crassus albensis	7797	NA	uniocrmi	subspecies	Unio sp.	7138	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unio sp.	Bivalvia	Unionidae	Unio	Unio crassus ssp.	NA	Unio crassus crassus	7135	1417	uniocras	subspecies	Unio sp.	7138	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unio sp.	Bivalvia	Unionidae	Unio	Unio crassus ssp.	NA	Unio crassus cytherea	7795	1930	uniocrcy	subspecies	Unio sp.	7138	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unio sp.	Bivalvia	Unionidae	Unio	Unio crassus ssp.	NA	Unio crassus decurvatus	7794	NA	uniocrde	subspecies	Unio sp.	7138	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unio sp.	Bivalvia	Unionidae	Unio	Unio crassus ssp.	NA	Unio crassus riparius	16781	1418	uniocrri	subspecies	Unio sp.	7138	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unio sp.	Bivalvia	Unionidae	Unio	Unio crassus ssp.	NA	Unio crassus ssp.	19440	1061	unicrssp	subspecies	Unio sp.	7138	genus
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unio sp.	Bivalvia	Unionidae	Unio	NA	NA	Unio elongatulus	21965	NA	unioelon	species	Unio sp.	7138	genus
